time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-10 00:00:00+00:00,40,35,7,3
2026-07-11 00:00:00+00:00,74,56,8,7
2026-07-12 00:00:00+00:00,50,45,13,7
2026-07-13 00:00:00+00:00,53,35,3,2
2026-07-14 00:00:00+00:00,49,33,6,4
2026-07-15 00:00:00+00:00,45,33,13,7
2026-07-16 00:00:00+00:00,32,26,0,0
2026-07-17 00:00:00+00:00,50,40,5,2
2026-07-18 00:00:00+00:00,73,58,6,6
2026-07-19 00:00:00+00:00,80,61,6,6
2026-07-20 00:00:00+00:00,66,42,4,3
2026-07-21 00:00:00+00:00,51,37,5,3
2026-07-22 00:00:00+00:00,67,59,9,3
2026-07-23 00:00:00+00:00,50,48,3,3
