url_path,views_total,views_unique
/forkymcforkface/xpad-noone,80,43
/forkymcforkface/xpad-noone/blob/master/xpad.c,9,4
/forkymcforkface/xpad-noone/issues,3,3
/forkymcforkface/xpad-noone/issues/4,2,2
/forkymcforkface/xpad-noone/commit/ad89fdf2daeb29162a95702217bb9436ecf5da2f,2,1
/forkymcforkface/xpad-noone/forks,2,1
/forkymcforkface/xpad-noone/blob/master/Kbuild,1,1
/forkymcforkface/xpad-noone/blob/master/Makefile,1,1
/forkymcforkface/xpad-noone/blob/master/README.md,1,1
/forkymcforkface/xpad-noone/blob/master/dkms.conf,1,1
