time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-02 00:00:00+00:00,55,43,4,4
2026-08-03 00:00:00+00:00,29,29,7,5
2026-08-04 00:00:00+00:00,31,25,2,2
2026-08-05 00:00:00+00:00,38,26,5,3
2026-08-06 00:00:00+00:00,27,20,1,1
2026-08-07 00:00:00+00:00,67,53,4,3
2026-08-08 00:00:00+00:00,61,41,14,8
2026-08-09 00:00:00+00:00,30,29,5,3
2026-08-10 00:00:00+00:00,24,21,3,3
2026-08-11 00:00:00+00:00,47,30,3,2
2026-08-12 00:00:00+00:00,40,25,6,3
2026-08-13 00:00:00+00:00,35,24,2,2
2026-08-14 00:00:00+00:00,30,21,7,6
2026-08-15 00:00:00+00:00,37,32,9,8
