time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,36,21,4,3
2026-06-17 00:00:00+00:00,23,17,4,4
2026-06-18 00:00:00+00:00,32,21,1,1
2026-06-19 00:00:00+00:00,36,28,5,3
2026-06-20 00:00:00+00:00,53,37,8,6
2026-06-21 00:00:00+00:00,40,27,12,6
2026-06-22 00:00:00+00:00,28,22,2,2
2026-06-23 00:00:00+00:00,38,24,4,3
2026-06-24 00:00:00+00:00,41,30,14,4
2026-06-25 00:00:00+00:00,39,29,6,3
2026-06-26 00:00:00+00:00,41,34,2,2
2026-06-27 00:00:00+00:00,53,44,8,3
2026-06-28 00:00:00+00:00,55,50,10,6
2026-06-29 00:00:00+00:00,56,45,2,2
