time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,34,19,2,1
2026-06-11 00:00:00+00:00,26,19,5,3
2026-06-12 00:00:00+00:00,46,29,10,4
2026-06-13 00:00:00+00:00,65,43,5,4
2026-06-14 00:00:00+00:00,88,33,8,5
2026-06-15 00:00:00+00:00,47,23,2,1
2026-06-16 00:00:00+00:00,36,21,4,3
2026-06-17 00:00:00+00:00,23,17,4,4
2026-06-18 00:00:00+00:00,32,21,1,1
2026-06-19 00:00:00+00:00,36,28,5,3
2026-06-20 00:00:00+00:00,53,37,8,6
2026-06-21 00:00:00+00:00,40,27,12,6
2026-06-22 00:00:00+00:00,28,22,2,2
2026-06-23 00:00:00+00:00,38,24,4,3
