time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-07 00:00:00+00:00,67,53,4,3
2026-08-08 00:00:00+00:00,61,41,14,8
2026-08-09 00:00:00+00:00,30,29,5,3
2026-08-10 00:00:00+00:00,24,21,3,3
2026-08-11 00:00:00+00:00,47,30,3,2
2026-08-12 00:00:00+00:00,40,25,6,3
2026-08-13 00:00:00+00:00,35,24,2,2
2026-08-14 00:00:00+00:00,30,21,7,6
2026-08-15 00:00:00+00:00,37,32,9,8
2026-08-16 00:00:00+00:00,55,40,3,3
2026-08-17 00:00:00+00:00,47,31,5,3
2026-08-18 00:00:00+00:00,22,17,8,6
2026-08-19 00:00:00+00:00,38,33,11,7
2026-08-20 00:00:00+00:00,31,28,0,0
