url_path,views_total,views_unique
/forkymcforkface/xpad-noone,78,33
/forkymcforkface/xpad-noone/commit/a52e32cf182435d608e66bef9a6c89ebac891999,4,2
/forkymcforkface/xpad-noone/blob/master/xpad.c,2,2
/forkymcforkface/xpad-noone/commits/master,2,2
/forkymcforkface/xpad-noone/pulls,2,2
/forkymcforkface/xpad-noone/graphs/traffic,2,1
/forkymcforkface/xpad-noone/pulse,2,1
/forkymcforkface/xpad-noone/commit/1caf500b6059d8dad8dd0a0547cd7132e64946a3,1,1
/forkymcforkface/xpad-noone/commit/7b5361475c719b03b9e0152e44cf7fca0b85af60,1,1
/forkymcforkface/xpad-noone/commit/8e903676dd9514c07ce5e06e43c5f7d8cc51cb7d,1,1
