url_path,views_total,views_unique
/forkymcforkface/xpad-noone,54,38
/forkymcforkface/xpad-noone/issues,4,4
/forkymcforkface/xpad-noone/forks,2,2
/forkymcforkface/xpad-noone/issues/4,2,2
/forkymcforkface/xpad-noone/commits/master,1,1
/forkymcforkface/xpad-noone/security,1,1
