time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-16 00:00:00+00:00,32,26,0,0
2026-07-17 00:00:00+00:00,50,40,5,2
2026-07-18 00:00:00+00:00,73,58,6,6
2026-07-19 00:00:00+00:00,80,61,6,6
2026-07-20 00:00:00+00:00,66,42,4,3
2026-07-21 00:00:00+00:00,51,37,5,3
2026-07-22 00:00:00+00:00,67,59,9,3
2026-07-23 00:00:00+00:00,50,48,3,3
2026-07-24 00:00:00+00:00,33,29,5,4
2026-07-25 00:00:00+00:00,55,39,3,1
2026-07-26 00:00:00+00:00,47,40,22,9
2026-07-27 00:00:00+00:00,30,25,10,6
2026-07-28 00:00:00+00:00,53,36,7,3
2026-07-29 00:00:00+00:00,32,29,10,5
