time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,28,26,13,7
2026-08-29 00:00:00+00:00,36,33,5,4
2026-08-30 00:00:00+00:00,28,26,9,7
2026-08-31 00:00:00+00:00,36,34,6,3
2026-09-01 00:00:00+00:00,34,28,9,6
2026-09-02 00:00:00+00:00,28,24,15,4
2026-09-03 00:00:00+00:00,28,23,3,3
2026-09-04 00:00:00+00:00,40,38,1,1
2026-09-05 00:00:00+00:00,39,37,5,4
2026-09-06 00:00:00+00:00,38,33,12,5
2026-09-07 00:00:00+00:00,54,42,11,6
2026-09-08 00:00:00+00:00,22,21,4,4
2026-09-09 00:00:00+00:00,30,26,8,5
2026-09-10 00:00:00+00:00,33,31,7,5
