time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-25 00:00:00+00:00,55,39,3,1
2026-07-26 00:00:00+00:00,47,40,22,9
2026-07-27 00:00:00+00:00,30,25,10,6
2026-07-28 00:00:00+00:00,53,36,7,3
2026-07-29 00:00:00+00:00,32,29,10,5
2026-07-30 00:00:00+00:00,24,21,6,4
2026-07-31 00:00:00+00:00,54,39,20,4
2026-08-01 00:00:00+00:00,50,37,3,2
2026-08-02 00:00:00+00:00,55,43,4,4
2026-08-03 00:00:00+00:00,29,29,7,5
2026-08-04 00:00:00+00:00,31,25,2,2
2026-08-05 00:00:00+00:00,38,26,5,3
2026-08-06 00:00:00+00:00,27,20,1,1
2026-08-07 00:00:00+00:00,67,53,4,3
