time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-03 00:00:00+00:00,58,43,6,6
2026-07-04 00:00:00+00:00,51,39,14,4
2026-07-05 00:00:00+00:00,51,39,11,7
2026-07-06 00:00:00+00:00,38,31,5,3
2026-07-07 00:00:00+00:00,35,33,5,4
2026-07-08 00:00:00+00:00,44,34,7,6
2026-07-09 00:00:00+00:00,30,27,12,7
2026-07-10 00:00:00+00:00,40,35,7,3
2026-07-11 00:00:00+00:00,74,56,8,7
2026-07-12 00:00:00+00:00,50,45,13,7
2026-07-13 00:00:00+00:00,53,35,3,2
2026-07-14 00:00:00+00:00,49,33,6,4
2026-07-15 00:00:00+00:00,45,33,13,7
2026-07-16 00:00:00+00:00,32,26,0,0
