time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-18 00:00:00+00:00,22,17,8,6
2026-08-19 00:00:00+00:00,38,33,11,7
2026-08-20 00:00:00+00:00,31,28,0,0
2026-08-21 00:00:00+00:00,34,31,9,3
2026-08-22 00:00:00+00:00,41,32,11,10
2026-08-23 00:00:00+00:00,51,38,5,1
2026-08-24 00:00:00+00:00,52,49,7,5
2026-08-25 00:00:00+00:00,24,21,2,1
2026-08-26 00:00:00+00:00,23,21,4,3
2026-08-27 00:00:00+00:00,41,36,4,4
2026-08-28 00:00:00+00:00,28,26,13,7
2026-08-29 00:00:00+00:00,36,33,5,4
2026-08-30 00:00:00+00:00,28,26,9,7
2026-08-31 00:00:00+00:00,36,34,6,3
