time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,28,23,3,3
2026-09-04 00:00:00+00:00,40,38,1,1
2026-09-05 00:00:00+00:00,39,37,5,4
2026-09-06 00:00:00+00:00,38,33,12,5
2026-09-07 00:00:00+00:00,54,42,11,6
2026-09-08 00:00:00+00:00,22,21,4,4
2026-09-09 00:00:00+00:00,30,26,8,5
2026-09-10 00:00:00+00:00,33,31,7,5
2026-09-11 00:00:00+00:00,30,26,4,3
2026-09-12 00:00:00+00:00,45,35,2,2
2026-09-13 00:00:00+00:00,28,26,1,1
2026-09-14 00:00:00+00:00,29,24,2,2
2026-09-15 00:00:00+00:00,52,35,3,2
2026-09-16 00:00:00+00:00,30,29,1,1
