time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,41,30,14,4
2026-06-25 00:00:00+00:00,39,29,6,3
2026-06-26 00:00:00+00:00,41,34,2,2
2026-06-27 00:00:00+00:00,53,44,8,3
2026-06-28 00:00:00+00:00,55,50,10,6
2026-06-29 00:00:00+00:00,56,45,2,2
2026-06-30 00:00:00+00:00,33,29,5,5
2026-07-01 00:00:00+00:00,64,44,8,3
2026-07-02 00:00:00+00:00,55,47,3,2
2026-07-03 00:00:00+00:00,58,43,6,6
2026-07-04 00:00:00+00:00,51,39,14,4
2026-07-05 00:00:00+00:00,51,39,11,7
2026-07-06 00:00:00+00:00,38,31,5,3
2026-07-07 00:00:00+00:00,35,33,5,4
